age,income,account_balance,monthly_transactions,credit_score,customer_type
25,35000,5000,12,680,Standard
32,48000,8500,18,720,Premium
28,42000,6200,15,700,Standard
40,65000,15000,22,760,Premium
35,55000,11000,20,740,Premium
45,72000,18000,25,780,Premium
30,46000,7200,16,710,Standard
38,60000,12500,21,750,Premium
27,39000,5400,13,690,Standard
42,68000,16000,24,770,Premium
33,52000,9800,19,730,Standard
29,44000,6800,14,705,Standard
48,80000,22000,28,800,Premium
36,58000,11500,20,745,Premium
31,47000,7600,17,715,Standard
26,37000,5100,11,675,Standard
41,70000,17000,26,775,Premium
34,53000,10200,19,735,Standard
39,62000,14000,23,755,Premium
28,41000,5900,14,695,Standard
